"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"< 1 year"	"1"	89	9398	947.0
	"Alabama"	"01"	"Large Central Metro"	"1"	"5-9 years"	"5-9"	10	41892	Unreliable
	"Alabama"	"01"	"Large Central Metro"	"1"	"10-14 years"	"10-14"	11	42360	Unreliable
	"Alabama"	"01"	"Large Central Metro"	"1"	"15-19 years"	"15-19"	44	43203	101.8
	"Alabama"	"01"	"Large Central Metro"	"1"	"20-24 years"	"20-24"	61	45737	133.4
	"Alabama"	"01"	"Large Central Metro"	"1"	"25-29 years"	"25-29"	87	48529	179.3
	"Alabama"	"01"	"Large Central Metro"	"1"	"30-34 years"	"30-34"	97	46029	210.7
	"Alabama"	"01"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	96	40632	236.3
	"Alabama"	"01"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	123	41442	296.8
	"Alabama"	"01"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	245	44664	548.5
	"Alabama"	"01"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	355	48349	734.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	500	45618	1096.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	559	38546	1450.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	491	25589	1918.8
	"Alabama"	"01"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	542	19668	2755.7
	"Alabama"	"01"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	693	15719	4408.7
	"Alabama"	"01"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	983	13510	7276.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	960	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	595	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	244	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"100+ years"	"100+"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"< 1 year"	"1"	41	5803	706.5
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	23	30436	75.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	37	26778	138.2
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	57	29602	192.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	59	32334	182.5
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	67	32551	205.8
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	83	34350	241.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	150	34652	432.9
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	221	34646	637.9
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	301	31534	954.5
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	388	28974	1339.1
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	416	21421	1942.0
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	469	15868	2955.6
