"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 year"	"1"	Suppressed	632	Suppressed
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	14	2236	626.1 (Unreliable)
	"Barbour County, AL"	"01005"	"< 1 year"	"1"	Suppressed	264	Suppressed
	"Bibb County, AL"	"01007"	"< 1 year"	"1"	Suppressed	248	Suppressed
	"Blount County, AL"	"01009"	"< 1 year"	"1"	Suppressed	616	Suppressed
	"Bullock County, AL"	"01011"	"< 1 year"	"1"	Suppressed	123	Suppressed
	"Butler County, AL"	"01013"	"< 1 year"	"1"	Suppressed	247	Suppressed
	"Calhoun County, AL"	"01015"	"< 1 year"	"1"	19	1315	1444.9 (Unreliable)
	"Chambers County, AL"	"01017"	"< 1 year"	"1"	Suppressed	422	Suppressed
	"Cherokee County, AL"	"01019"	"< 1 year"	"1"	Suppressed	251	Suppressed
	"Chilton County, AL"	"01021"	"< 1 year"	"1"	Suppressed	596	Suppressed
	"Choctaw County, AL"	"01023"	"< 1 year"	"1"	Suppressed	142	Suppressed
	"Clarke County, AL"	"01025"	"< 1 year"	"1"	Suppressed	266	Suppressed
	"Clay County, AL"	"01027"	"< 1 year"	"1"	Suppressed	148	Suppressed
	"Cleburne County, AL"	"01029"	"< 1 year"	"1"	Suppressed	197	Suppressed
	"Coffee County, AL"	"01031"	"< 1 year"	"1"	Suppressed	623	Suppressed
	"Colbert County, AL"	"01033"	"< 1 year"	"1"	Suppressed	586	Suppressed
	"Conecuh County, AL"	"01035"	"< 1 year"	"1"	Suppressed	129	Suppressed
	"Coosa County, AL"	"01037"	"< 1 year"	"1"	Suppressed	101	Suppressed
	"Covington County, AL"	"01039"	"< 1 year"	"1"	Suppressed	425	Suppressed
	"Crenshaw County, AL"	"01041"	"< 1 year"	"1"	Suppressed	153	Suppressed
	"Cullman County, AL"	"01043"	"< 1 year"	"1"	Suppressed	1012	Suppressed
	"Dale County, AL"	"01045"	"< 1 year"	"1"	Suppressed	661	Suppressed
	"Dallas County, AL"	"01047"	"< 1 year"	"1"	Suppressed	546	Suppressed
	"DeKalb County, AL"	"01049"	"< 1 year"	"1"	Suppressed	818	Suppressed
	"Elmore County, AL"	"01051"	"< 1 year"	"1"	Suppressed	938	Suppressed
	"Escambia County, AL"	"01053"	"< 1 year"	"1"	Suppressed	445	Suppressed
	"Etowah County, AL"	"01055"	"< 1 year"	"1"	10	1189	841.0 (Unreliable)
	"Fayette County, AL"	"01057"	"< 1 year"	"1"	Suppressed	181	Suppressed
	"Franklin County, AL"	"01059"	"< 1 year"	"1"	Suppressed	407	Suppressed
	"Geneva County, AL"	"01061"	"< 1 year"	"1"	Suppressed	278	Suppressed
	"Greene County, AL"	"01063"	"< 1 year"	"1"	Suppressed	98	Suppressed
	"Hale County, AL"	"01065"	"< 1 year"	"1"	Suppressed	186	Suppressed
	"Henry County, AL"	"01067"	"< 1 year"	"1"	Suppressed	174	Suppressed
	"Houston County, AL"	"01069"	"< 1 year"	"1"	Suppressed	1277	Suppressed
	"Jackson County, AL"	"01071"	"< 1 year"	"1"	Suppressed	549	Suppressed
	"Jefferson County, AL"	"01073"	"< 1 year"	"1"	94	8618	1090.7
	"Lamar County, AL"	"01075"	"< 1 year"	"1"	Suppressed	141	Suppressed
	"Lauderdale County, AL"	"01077"	"< 1 year"	"1"	Suppressed	937	Suppressed
	"Lawrence County, AL"	"01079"	"< 1 year"	"1"	Suppressed	353	Suppressed
	"Lee County, AL"	"01081"	"< 1 year"	"1"	16	1826	876.2 (Unreliable)
	"Limestone County, AL"	"01083"	"< 1 year"	"1"	Suppressed	1008	Suppressed
	"Lowndes County, AL"	"01085"	"< 1 year"	"1"	Suppressed	117	Suppressed
	"Macon County, AL"	"01087"	"< 1 year"	"1"	Suppressed	192	Suppressed
	"Madison County, AL"	"01089"	"< 1 year"	"1"	36	4165	864.3
	"Marengo County, AL"	"01091"	"< 1 year"	"1"	Suppressed	255	Suppressed
	"Marion County, AL"	"01093"	"< 1 year"	"1"	Suppressed	315	Suppressed
	"Marshall County, AL"	"01095"	"< 1 year"	"1"	10	1288	776.4 (Unreliable)
	"Mobile County, AL"	"01097"	"< 1 year"	"1"	58	5611	1033.7
	"Monroe County, AL"	"01099"	"< 1 year"	"1"	Suppressed	223	Suppressed
	"Montgomery County, AL"	"01101"	"< 1 year"	"1"	31	3185	973.3
	"Morgan County, AL"	"01103"	"< 1 year"	"1"	Suppressed	1403	Suppressed
	"Perry County, AL"	"01105"	"< 1 year"	"1"	Suppressed	89	Suppressed
	"Pickens County, AL"	"01107"	"< 1 year"	"1"	Suppressed	226	Suppressed
	"Pike County, AL"	"01109"	"< 1 year"	"1"	Suppressed	391	Suppressed
	"Randolph County, AL"	"01111"	"< 1 year"	"1"	Suppressed	252	Suppressed
	"Russell County, AL"	"01113"	"< 1 year"	"1"	10	907	1102.5 (Unreliable)
	"St. Clair County, AL"	"01115"	"< 1 year"	"1"	Suppressed	994	Suppressed
