"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"< 1 year"	"1"	127	9323	1362.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"1-4 years"	"1-4"	12	34385	Unreliable
	"Alabama"	"01"	"Large Central Metro"	"1"	"10-14 years"	"10-14"	13	42777	Unreliable
	"Alabama"	"01"	"Large Central Metro"	"1"	"15-19 years"	"15-19"	39	46012	84.8
	"Alabama"	"01"	"Large Central Metro"	"1"	"20-24 years"	"20-24"	77	46053	167.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"25-29 years"	"25-29"	100	49484	202.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"30-34 years"	"30-34"	83	42754	194.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	103	43341	237.7
	"Alabama"	"01"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	150	42684	351.4
	"Alabama"	"01"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	256	48352	529.5
	"Alabama"	"01"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	359	48902	734.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	495	43147	1147.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	479	31963	1498.6
	"Alabama"	"01"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	522	23871	2186.8
	"Alabama"	"01"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	583	18909	3083.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	849	16807	5051.5
	"Alabama"	"01"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	993	13869	7159.9
	"Alabama"	"01"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	984	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	611	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	260	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"100+ years"	"100+"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"< 1 year"	"1"	44	6300	698.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	22	30446	72.3
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	44	25539	172.3
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	52	30328	171.5
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	48	31337	153.2
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	75	34992	214.3
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	90	33676	267.3
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	170	35026	485.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	222	33159	669.5
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	259	29732	871.1
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	347	25112	1381.8
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	380	19419	1956.8
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	426	14303	2978.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	458	10538	4346.2
