"eis","SCC","County","FIPS","Name","NAICS","State","Lat","Long","NH3","NOx","PM25","SO2","VOC","eff_height","ap3.assignment","easiur.assignment"
1722311,30500205,"Multiple (portable facilities)",12777,"C.W. ROBERTS CONTRACTING, INC.",324121,"FL",NA,NA,0,1.983619,0.20867771,0.211996,1.603492,0,"Low","Area"
1874311,30500205,"Multiple (portable facilities)",12777,"PREFERRED MATERIALS, INC.",324121,"FL",NA,NA,0,6.14144,0.4412974,0.550241,3.08885,0,"Low","Area"
1876411,30500263,"Multiple (portable facilities)",12777,"GROUP III ASPHALT INC",324121,"FL",NA,NA,0,2.48243,0.176027,2.61783,1.44432,0,"Low","Area"
1969111,30500207,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO., INC.",324121,"FL",NA,NA,0,3.67072,0.4693568,2.508727,2.599936,0,"Low","Area"
1970711,20200102,"Multiple (portable facilities)",12777,"DAB CONSTRUCTORS, INC.",324121,"FL",NA,NA,0,1.57722,0.07457628,0.180892,0.406245,0,"Low","Area"
2573711,30500205,"Multiple (portable facilities)",12777,"C W ROBERTS CONTRACTING INC",324121,"FL",NA,NA,0,2.59226,0.04194884,2.73366,1.50822,0,"Low","Area"
2574911,30500205,"Multiple (portable facilities)",12777,"PREFERRED MATERIALS, INC.",324121,"FL",NA,NA,0,0.702234,0.0390808,0.740538,0.408573,0,"Low","Area"
2732511,30500263,"Multiple (portable facilities)",12777,"MIDSOUTH PAVING, INC.",324121,"FL",NA,NA,0,1.028683,0.15934807,0.217585,0.779824,0,"Low","Area"
2732811,39000499,"Multiple (portable facilities)",12777,"C W ROBERTS CONTRACTING INC",324121,"FL",NA,NA,0,5.5753,0.16929149,4.544592,2.56858,0,"Low","Area"
4227911,30500257,"Multiple (portable facilities)",12777,"MIDSOUTH PAVING INC",324121,"FL",NA,NA,0,1.284118,1.1359525375,0.167931,1.580454,0,"Low","Area"
4358411,20200102,"Multiple (portable facilities)",12777,"PREFERRED MATERIALS, INC.",324121,"FL",NA,NA,0,3.77037,0.22987702,0.328815,1.912453,0,"Low","Area"
4358511,20200102,"Multiple (portable facilities)",12777,"PREFERRED MATERIALS, INC.",324121,"FL",NA,NA,0,4.91368,0.239971,0.546182,4.34402,NA,NA,NA
4358711,39000699,"Multiple (portable facilities)",12777,"DUVAL ASPHALT PRODUCTS, INC.",324121,"FL",NA,NA,0,6.63628,0.54015528,7.139155,2.711328,0,"Low","Area"
4382511,30500257,"Multiple (portable facilities)",12777,"PEAVY & SON CONSTRUCTION CO INC",324121,"FL",NA,NA,0,2.35775,0.353662,0.308321,2.90184,0,"Low","Area"
4434811,30502001,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO., INC.",324121,"FL",NA,NA,0,2.43574,0.12754555,0.528834,0.703018,0,"Low","Area"
5162411,30502503,"Multiple (portable facilities)",32777,"CINDERLITE TRUCKING, INC.",212321,"NV",NA,NA,0,0,0.0100682297,0,0,NA,NA,NA
5162511,30500214,"Multiple (portable facilities)",32777,"GRANITE CONSTRUCTION COMPANY",237310,"NV",NA,NA,0,1.130922,0.99986527597,0.1478901,3.175285,0,"Low","Area"
5774011,30501009,"Multiple (portable facilities)",21777,"CAM Mining LLC - Portable Crusher",212112,"KY",NA,NA,0,0,0.03400652,0,0,NA,NA,NA
5877711,30502006,"Multiple (portable facilities)",32777,"JIM WILKIN TRUCKING LLC",212321,"NV",NA,NA,0,0,0.02545550698,0,0,NA,NA,NA
5894011,30502006,"Multiple (portable facilities)",32777,"H E HUNEWILL CONSTRUCTION CO, INC",212321,"NV",NA,NA,0,0,0.0360976672,0,0,NA,NA,NA
6068911,10200602,"Multiple (portable facilities)",55777,"AMERICAN ASPHALT PAVING INC",324121,"WI",NA,NA,0.07315058,2.2859605,0.712155625,0,0.1184015,NA,NA,NA
6151811,20200102,"Multiple (portable facilities)",27777,"Intex Corp",212321,"MN",NA,NA,0.16944,35.293,4.8914803,2.3195,2.8808,0,"Low","Area"
6151911,20200401,"Multiple (portable facilities)",27777,"Commercial Asphalt Co - Plant 944",324121,"MN",NA,NA,0.001276,8.0507,0.9761242,1.04174,9.675937,0,"Low","Area"
6168911,30502001,"Multiple (portable facilities)",27777,"County Line Construction - Nonmetallic",212321,"MN",NA,NA,0,0,0.62624,0,0,0,"Low","Area"
6174811,20200102,"Multiple (portable facilities)",27777,"Shakopee Gravel Inc - Nonmetallic",212321,"MN",NA,NA,0,2.043,2.4810256,0.1343,0.1667,0,"Low","Area"
6186111,30500255,"Multiple (portable facilities)",27777,"Commercial Asphalt Co - Plant 909",324121,"MN",NA,NA,0,4.268,1.1492,0.5582,5.253,0,"Low","Area"
6189711,30500208,"Multiple (portable facilities)",27777,"Knife River Materials Asphalt Plant 1",324121,"MN",NA,NA,0.004913,1.42735,1.0671491,0.204766,1.3333295,0,"Low","Area"
6673111,30501105,"Multiple (portable facilities)",32777,"MODERN CONCRETE",212321,"NV",NA,NA,0,0,0.001722475,0,0,0,"Low","Area"
6692511,30502002,"Multiple (portable facilities)",32777,"CANYON CONSTRUCTION  COMPANY",212321,"NV",NA,NA,0,0,0.038475155,0,0,NA,NA,NA
6739811,30502006,"Multiple (portable facilities)",32777,"REES S ENTERPRISE",212321,"NV",NA,NA,0,0,0.02585117364,0,0,NA,NA,NA
6845511,30502006,"Multiple (portable facilities)",32777,"A & K EARTH MOVERS, INC",212321,"NV",NA,NA,0,0,0.0035682081,0,0,NA,NA,NA
6846311,30502001,"Multiple (portable facilities)",32777,"AMES CONSTRUCTION, INC.",212321,"NV",NA,NA,0,0,0.021212992,0,0,NA,NA,NA
6935511,30500255,"Multiple (portable facilities)",27777,"Northland Constructors of Duluth LLC",324121,"MN",NA,NA,0,0.1558,0.28362,0.1818,3.584,0,"Low","Area"
6935611,20200401,"Multiple (portable facilities)",27777,"Northland Constructors of Duluth Gencor",324121,"MN",NA,NA,0.027188,10.7388,0.525416,9.0982,6.3549968,0,"Low","Area"
7025411,20200102,"Multiple (portable facilities)",27777,"Dresel Aggregate Inc - Nonmetallic",212321,"MN",NA,NA,0,1.713,0.237842,0.1126,0.1398,0,"Low","Area"
7047311,30500207,"Multiple (portable facilities)",27777,"Riley Bros Construction Inc",324121,"MN",NA,NA,0.07304,7.425,0.98037,19.814,1.42356,0,"Low","Area"
7093011,20200401,"Multiple (portable facilities)",27777,"Dunn Blacktop - Plant 66",324121,"MN",NA,NA,0.04869,13.223,2.29103,1.178634,3.6034,0,"Low","Area"
7093111,20200401,"Multiple (portable facilities)",27777,"Milestone Materials 85-09",212312,"MN",NA,NA,0.03191,4.82,0.192609,0.003037,0.1235,0,"Low","Area"
7116711,20200401,"Multiple (portable facilities)",27777,"Tri-City Paving Inc - Plant 4",324121,"MN",NA,NA,0.026796,7.38415,1.4823469,2.70625,2.1198546,0,"Low","Area"
7131411,10201002,"Multiple (portable facilities)",27777,"Central Specialties Inc - Plant 3",324121,"MN",NA,NA,0,15.70027,2.43320715,6.2017461,4.599155,0,"Low","Area"
7131511,10201002,"Multiple (portable facilities)",27777,"Central Specialties Inc - Plant 4",324121,"MN",NA,NA,0,3.237545,0.629506053,1.4732495,1.068315,0,"Low","Area"
7131611,10200501,"Multiple (portable facilities)",27777,"Central Specialties Inc - Plant 5",324121,"MN",NA,NA,0,16.9632,3.827074,9.517903,6.57674,0,"Low","Area"
7141911,30500209,"Multiple (portable facilities)",27777,"Ulland Brothers Inc - Plant 3",324121,"MN",NA,NA,0,8.9984,3.1906792,9.3092621,5.14911,0,"Low","Area"
7486711,30500258,"Multiple (portable facilities)",27777,"Park Paving Inc",324121,"MN",NA,NA,0,0.09092,0.0108014,0.01818,0.0529,0,"Low","Area"
9273511,30388801,"Multiple (portable facilities)",39777,"Stein, Inc. (0247080619)",331110,"OH",NA,NA,0,0.5709,63.53528087,0,0,NA,NA,NA
9298811,50300601,"Multiple (portable facilities)",39777,"Bond Road Landfill (1431473443)",562212,"OH",NA,NA,0.16,0,0.040000215,0,0.37,NA,NA,NA
9301011,30500263,"Multiple (portable facilities)",39777,"MAR-ZANE, INC. PLANT #24 (0660010242)",324121,"OH",NA,NA,0,2.55,1.96,0.42,3.89,0,"Low","Area"
9301111,30500263,"Multiple (portable facilities)",39777,"MAR-ZANE, INC. PLANT #21 (0660010241)",324121,"OH",NA,NA,0,2.6,0.44,1.56,1.75,0,"Low","Area"
9472811,30503811,"Multiple (portable facilities)",27777,"Carl Bolander & Sons Inc",327331,"MN",NA,NA,0,0,0.53,0,0,NA,NA,NA
9480811,30500206,"Multiple (portable facilities)",27777,"Hawkinson Construction Co Inc - Plant 2",324121,"MN",NA,NA,0.020154,3.6783,0.750258,0.18769,1.12796,0,"Low","Area"
9480911,30500208,"Multiple (portable facilities)",27777,"Hawkinson Construction Co Inc - Plant 1",324121,"MN",NA,NA,0.02092,6.94025,1.3163836,4.02847,2.2700913,0,"Low","Area"
9482511,30500208,"Multiple (portable facilities)",27777,"Hardrives Inc - Plant 501",324121,"MN",NA,NA,0.041902,9.6383,2.848119,4.774514,3.212503,0,"Low","Area"
9482611,20200401,"Multiple (portable facilities)",27777,"Hardrives Inc - Plant 401",324121,"MN",NA,NA,0.036342,11.02329,4.2012426,6.7244,4.4935629,0,"Low","Area"
9496911,20200401,"Multiple (portable facilities)",27777,"Commercial Asphalt Co - Plant 908",324121,"MN",NA,NA,0.01343,3.146,0.230665,0.2908,1.42795,0,"Low","Area"
9497011,30500206,"Multiple (portable facilities)",27777,"Knife River Corp N Central - Plant 3",324121,"MN",NA,NA,0.002722,2.63205,1.9050747,0.3336103,4.725978,0,"Low","Area"
9532411,30500208,"Multiple (portable facilities)",27777,"Anderson Brothers Construction Co Base 3",324121,"MN",NA,NA,0.035011,12.08478,6.3320901,7.9065,6.840141,0,"Low","Area"
9532511,20200401,"Multiple (portable facilities)",27777,"Anderson Brothers Construction Co Base 4",324121,"MN",NA,NA,0.054542,17.3783,3.61502,9.9328,9.519405,0,"Low","Area"
9773011,30500205,"Multiple (portable facilities)",12777,"C.W. ROBERTS CONTRACTING, INC.",324121,"FL",NA,NA,0,6.38286,0.102346189,6.718043,3.707101,0,"Low","Area"
9786411,30500207,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO., INC.",324121,"FL",NA,NA,0,7.09217,0.1042833,4.130434,2.692606,0,"Low","Area"
9791611,30500205,"Multiple (portable facilities)",12777,"WEEKLEY ASPHALT PAVING, INC.",324121,"FL",NA,NA,0,6.05,0,1.21,3.52,0,"Low","Area"
9802711,30590002,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO INC  #6",324121,"FL",NA,NA,0,4.66612,0.1015438,3.423974,1.544362,0,"Low","Area"
9806411,30500205,"Multiple (portable facilities)",12777,"RANGER CONSTRUCTION INDUSTRIES, INC.",324121,"FL",NA,NA,0,8.66078,0.1917073,0.619941,4.326675,0,"Low","Area"
9807811,30500263,"Multiple (portable facilities)",12777,"GROUP III ASPHALT INC",324121,"FL",NA,NA,0,0.414938,0.037371,0.344729,0.30664,0,"Low","Area"
10696911,30500208,"Multiple (portable facilities)",27777,"Tri-City Paving Inc - Plant 2 DM70",324121,"MN",NA,NA,0.037082,12.4918,3.564917,6.6985,4.916376,0,"Low","Area"
10697011,20200401,"Multiple (portable facilities)",27777,"Tri-City Paving Inc",324121,"MN",NA,NA,0.035298,11.58145,2.68787,5.8723,4.128198,0,"Low","Area"
10709011,30500208,"Multiple (portable facilities)",27777,"Mark Sand & Gravel Acquisition - Plant 8",324121,"MN",NA,NA,0.001256,1.46039,0.2419542,1.55702,0.8437039,0,"Low","Area"
10709211,30500208,"Multiple (portable facilities)",27777,"Central Specialties Inc - Plant 1",324121,"MN",NA,NA,0.02673,5.5235,0.293642,3.312,1.153635,0,"Low","Area"
10709311,30500208,"Multiple (portable facilities)",27777,"Central Specialties Inc - Plant 2",324121,"MN",NA,NA,0.00794,1.4895,0.146041,1.6836,0.752985,0,"Low","Area"
10717811,30500257,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO., INC.",324121,"FL",NA,NA,0,0.708383,0.183582,0.092635,0.871856,0,"Low","Area"
10718011,20200102,"Multiple (portable facilities)",12777,"THE LANE CONSTRUCTION CORPORATION",324121,"FL",NA,NA,0,7.488787,0.5023957,0.159331,3.260374,0,"Low","Area"
10718411,20200102,"Multiple (portable facilities)",12777,"BETTER ROADS, INC.",324121,"FL",NA,NA,0,1.504932,0.08793412,0.28688,1.092089,0,"Low","Area"
10720311,30500208,"Multiple (portable facilities)",27777,"Mesabi Bituminous Inc - Schley Mine B",324121,"MN",NA,NA,0.022436,5.4379,0.452292,0.9001,1.448529,0,"Low","Area"
10720411,20200401,"Multiple (portable facilities)",27777,"Ulland Brothers Inc - Plant 1485",324121,"MN",NA,NA,0.020187,4.53892,2.248988,3.807,2.957159,0,"Low","Area"
10721411,30500208,"Multiple (portable facilities)",27777,"Duininck Bros Inc - Port Plant 6",324121,"MN",NA,NA,0.027618,5.9949,2.685436,2.40028,2.934312,0,"Low","Area"
10721611,20200401,"Multiple (portable facilities)",27777,"Duininck Bros Inc - Port Plant 8",324121,"MN",NA,NA,0.026474,6.8359,5.353253,4.3014,3.091109,0,"Low","Area"
12762411,30502002,"Multiple (portable facilities)",32777,"GOPHER CONSTRUCTION, INC.",212321,"NV",NA,NA,0,0,0.003561913,0,0,NA,NA,NA
12764511,30502001,"Multiple (portable facilities)",32777,"N A  DEGERSTROM, INC",212321,"NV",NA,NA,0,0,0.000126144,0,0,NA,NA,NA
12774411,30500205,"Multiple (portable facilities)",12777,"ASPHALTBABE, LLC DBA COASTAL BRIDGE CO.",324121,"FL",NA,NA,0,0.42874,0.04928199,0.056066,0.72556,NA,NA,NA
12778711,30500205,"Multiple (portable facilities)",12777,"PREFERRED MATERIALS, INC.",324121,"FL",NA,NA,0,1.25985,0.104285,0.16475,1.55059,0,"Low","Area"
12779911,30500205,"Multiple (portable facilities)",12777,"PREFERRED MATERIALS, INC.",324121,"FL",NA,NA,0,2.54561,0.1641496,0.237579,1.448339,0,"Low","Area"
12780811,30500205,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA",324121,"FL",NA,NA,0,1.83711,0.388618,0.240237,2.26106,0,"Low","Area"
12786211,30500208,"Multiple (portable facilities)",12777,"AJAX PAVING INDUSTRIES, INC.",324121,"FL",NA,NA,0,5.73907,0.4783344,0.62357,4.715093,0,"Low","Area"
12787411,30500205,"Multiple (portable facilities)",12777,"AJAX PAVING INDUSTRIES OF FLORIDA, LLC",324121,"FL",NA,NA,0,3.6317,0.8308014,0.405758,4.862155,0,"Low","Area"
12877911,30103099,"Multiple (portable facilities)",8777,"MEARS FERTILIZER, INC. - UNIT 3",325314,"CO",NA,NA,0,0,0.458824,0,0,0,"Low","Area"
12878211,30501101,"Multiple (portable facilities)",8777,"SCHLOSSER INC - PORTABLE CONC. PLANT",238110,"CO",NA,NA,0,0,0.183725,0,0,NA,NA,NA
12878411,20200102,"Multiple (portable facilities)",8777,"INTERSTATE HWY CONST (PORT REX  S  CBP",327320,"CO",NA,NA,0,21.1488,0.653532,0.370606,2.5301,0,"Low","Area"
12878611,30500201,"Multiple (portable facilities)",8777,"MCCORMICK EXCAVATION & PAVING",324121,"CO",NA,NA,0,0.601798,0.0107192,0.1299,0.014678,0,"Low","Area"
12878711,30502511,"Multiple (portable facilities)",8777,"DILLON CONSTRUCTION CO",212321,"CO",NA,NA,0,0,0.075816,0,0,NA,NA,NA
12879311,30502510,"Multiple (portable facilities)",8777,"MOFFAT CNTY ROAD DEPT",212321,"CO",NA,NA,0,0,0.023824,0,0,NA,NA,NA
