"eis","SCC","County","FIPS","Name","NAICS","State","Lat","Long","NH3","NOx","PM25","SO2","VOC","eff_height","ap3.assignment","easiur.assignment"
1722311,30500205,"Multiple (portable facilities)",12777,"C.W. ROBERTS CONTRACTING INC.",324121,"FL",NA,NA,0,5.82473,0.18166,6.14245,3.38894,0,"Low","Area"
1874311,20200102,"Multiple (portable facilities)",12777,"APAC-SOUTHEAST INC.",324121,"FL",NA,NA,0,0.663352,0.05458133,0.043622,0.054151,0,"Low","Area"
1876411,30500263,"Multiple (portable facilities)",12777,"GROUP III ASPHALTINC.",324121,"FL",NA,NA,0,3.27036,0.231898,3.44874,1.90275,0,"Low","Area"
1969111,30500205,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO. INC.",324121,"FL",NA,NA,0,6.47386,0.064902,2.37597,3.195016,0,"Low","Area"
1970711,20200102,"Multiple (portable facilities)",12777,"DAB CONSTRUCTORS INC.",324121,"FL",NA,NA,0,2.299768,0.1358539,0.276862,0.639459,0,"Low","Area"
2475811,30500208,"Multiple (portable facilities)",12777,"APAC-SOUTHEAST INC.",324121,"FL",NA,NA,0,2.096991,0.51804504,1.715778,0.934466,NA,NA,NA
2573711,20200102,"Multiple (portable facilities)",12777,"C W ROBERTS CONTRACTING INC",324121,"FL",NA,NA,0,3.84518,0.08155035,2.938085,1.672234,0,"Low","Area"
2573811,30500246,"Multiple (portable facilities)",12777,"AMERICAN  SAND & X-CAVATION",324121,"FL",NA,NA,0,0.2295,0.018743,0.1683,0.015683,NA,NA,NA
2574911,30500205,"Multiple (portable facilities)",12777,"APAC-SOUTHEAST INC.",324121,"FL",NA,NA,0,4.41556,0.164152,4.65641,2.56905,0,"Low","Area"
2579411,40783299,"",21777,"Florida River Compression Facility BP America",211111,"KY",37.15639,-107.77978,0,159.92,0,0,17.17,NA,NA,NA
2732511,30500263,"Multiple (portable facilities)",12777,"APAC MID-SOUTH INC.",324121,"FL",NA,NA,0,1.96683,0.139466,2.07411,1.14434,0,"Low","Area"
2732611,30500263,"Multiple (portable facilities)",12777,"APAC MID-SOUTH INC.",324121,"FL",NA,NA,0,0.899498,0.063783,0.948561,0.523344,NA,NA,NA
2732811,39000499,"Multiple (portable facilities)",12777,"C W ROBERTS CONTRACTING INC",324121,"FL",NA,NA,0,9.38848,0.19883573,8.458468,4.732878,0,"Low","Area"
2796011,30500205,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA INC. #10",324121,"FL",NA,NA,0,2.10702,0.02090572,0.648805,1.105681,NA,NA,NA
3524011,30500205,"Multiple (portable facilities)",12777,"C. W. ROBERTS CONTRACTING INC.",324121,"FL",NA,NA,0,2.4642,0.0878168,2.59862,1.43372,NA,NA,NA
4227911,30500263,"Multiple (portable facilities)",12777,"APAC MID-SOUTH INC.",324121,"FL",NA,NA,0,6.41729,0.455044,6.76732,3.7337,0,"Low","Area"
4358411,20200102,"Multiple (portable facilities)",12777,"APAC SOUTHEAST INC.",324121,"FL",NA,NA,0,4.55461,0.2635794,3.680777,2.082243,0,"Low","Area"
4358511,20200102,"Multiple (portable facilities)",12777,"APAC SOUTHEAST INC.",324121,"FL",NA,NA,0,3.772055,0.129096,3.444199,1.924725,NA,NA,NA
4358711,30500205,"Multiple (portable facilities)",12777,"DUVAL ASPHALT PRODUCTS INC.",324121,"FL",NA,NA,0,6.34059,0.3828862,10.1449,3.68907,0,"Low","Area"
4358811,30500242,"Multiple (portable facilities)",12777,"GEORGIA-FLORIDA CONTRACTING COMPANY",324121,"FL",NA,NA,0,1.52247,0.63936848,0.304493,0.885799,NA,NA,NA
4382511,30500257,"Multiple (portable facilities)",12777,"PEAVY & SON CONSTRUCTION CO INC",324121,"FL",NA,NA,0,3.45001,0.517501,0.451155,4.24616,0,"Low","Area"
4389111,39000499,"Multiple (portable facilities)",12777,"BETTER ROADS INC.",324121,"FL",NA,NA,0,1.631082,0.0533658,2.940063,0.010038,NA,NA,NA
4434811,39000501,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO. INC.",324121,"FL",NA,NA,0,1.86423,0.04116195,0.614045,0.957126,0,"Low","Area"
5162411,30502006,"Multiple (portable facilities)",32777,"CINDERLITE TRUCKING INC.",212321,"NV",NA,NA,0,0,0.036724539,0,0,NA,NA,NA
5162511,30502511,"Multiple (portable facilities)",32777,"GRANITE CONSTRUCTION COMPANY",2373,"NV",NA,NA,0,0,0.1218543828,0,0,0,"Low","Area"
5877711,30502506,"Multiple (portable facilities)",32777,"JIM WILKIN TRUCKING LLC",212321,"NV",NA,NA,0,0,0.1384266012,0,0,NA,NA,NA
5893911,30500208,"Multiple (portable facilities)",32777,"AGGREGATE INDUSTRIES SWR",212321,"NV",NA,NA,0,4.269705,1.40365502947,0.433081,2.8751576,NA,NA,NA
5894011,30500201,"Multiple (portable facilities)",32777,"H E HUNEWILL CONSTRUCTION CO INC",212321,"NV",NA,NA,0,0.220798,0.1244760621,0.0441595,0.2930586,NA,NA,NA
